Algoritmo,Coeficiente de Silueta,Índice de Davies-Bouldin,Índice de Calinski-Harabasz
K-means,0.4218615812599681,0.8566309261596494,107.20693270636299
Spectral,0.41377994483015273,0.8560550578601193,98.92436471619314
AHC,0.34936415582762026,0.9470202088699747,96.55468484945683
GMM,0.2963379313099353,1.0048275714647423,89.39336124538819
DBSCAN,0.24530631951170997,1.848351728522647,25.506844494718557
